DATAFLOW,LAST UPDATE,freq,frequenc,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,HR,2022,76.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,HU,2006,81.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,HU,2015,73.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,HU,2022,65.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IE,2006,77.7,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IE,2015,76.6,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IE,2022,85.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IS,2006,100.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IS,2015,95.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IT,2006,80.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IT,2015,76.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,IT,2022,59.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LT,2006,89.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LT,2015,89.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LT,2022,68.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LU,2006,94.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LU,2015,92.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LU,2022,82.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LV,2006,79.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LV,2015,85.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,LV,2022,69.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,ME,2015,59.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,ME,2022,48.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,MK,2015,33.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,MT,2006,72.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,MT,2015,61.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,MT,2022,44.2,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NL,2006,88.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NL,2015,92.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NL,2022,86.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NO,2006,94.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NO,2015,97.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,NO,2022,90.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PL,2006,87.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PL,2015,87.9,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PL,2022,87.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PT,2006,85.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PT,2015,85.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,PT,2022,84.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,RO,2015,41.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,RO,2022,31.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,RS,2015,59.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,RS,2022,70.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SE,2006,95.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SE,2015,95.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SE,2022,86.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SI,2006,93.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SI,2015,90.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SI,2022,75.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SK,2006,94.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SK,2015,84.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,SK,2022,67.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,TR,2022,28.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,UK,2006,77.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,UK,2015,64.3,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,AL,2022,48.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,AT,2006,91.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,AT,2015,90.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,AT,2022,80.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BE,2006,89.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BE,2015,87.2,,
